﻿X,Y,name
21.7190616,42.136391,Клуб
21.7192653,42.1366237,W2
21.7187986,42.1373298,Тунел
21.7204462,42.1365237,Баба Цана
21.7279322,42.132763,Rafaela
21.7282115,42.1333614,Помодоро
21.7266326,42.1355332,Lollipop
21.7241653,42.1381918,اخر نقطة تاع تران
21.7318423,42.1235585,Корнер
22.3309502,42.2075328,Стар Лисец
22.3379183,42.207696,Трнче
22.3466279,42.2123127,македонија
22.3580161,42.2228585,Pashina vodenica
22.389952,42.2246851,Дервен
21.4474069,42.018055,Burek
21.4462164,42.0365961,EZO
21.4163482,41.9922398,511
21.416522,41.9922245,Balila
21.4150613,41.9946354,Крчма
21.4162239,41.9934306,9
21.4171739,41.9937283,Авантура
21.4160063,41.9969599,Лавче
21.4170693,41.997226,Еснаф кај даре
21.4021635,41.9959806,МАКЕДОНСКА КУЌА
21.4032227,41.9959185,Чешма
21.4020366,41.9979148,Кај Маршалот
21.4086858,41.9972323,Акорд
21.4091295,41.997291,Ли
21.4078483,41.9997295,Рустикана
21.4168806,41.9984995,Belier
21.416703,42.0001541,Броз Кафе
21.420417,41.998742,Дестан
21.4204573,41.9989335,Браво
21.4191901,42.0005946,Кантина
21.4207447,41.9987097,Пицерија Либертас
21.4217901,41.9990725,Гирадико
21.4211669,42.0004422,# hash bar
21.4231465,41.9999867,Dogs bar
21.4173939,42.0008922,Сендвичара Попе
21.417262,42.0009888,Кафе Змија
21.4175044,42.0007963,Кафе Филипос
21.4175412,42.0011509,Кафе Кино Карпош
21.4170443,42.003398,Royal Burger
21.4167758,42.0035281,DM Restaurant
21.420049,42.0007591,Дебар Маало
21.4200655,42.0009079,"Кафана ""Дебар Маало"""
21.4205747,42.0013292,Дебар Маало
21.4206632,42.0010941,Фрути Ди Маре
21.4210921,42.0013712,Идадија
21.4216953,42.0013652,Laika
21.4208615,42.0014888,Кај Перо
21.4214837,42.001453,Наџак
21.423008,42.0012294,fourplay
21.4216722,42.0021654,Kaldrma
21.4217791,42.0022762,Van Gogh
21.4218407,42.0023198,Кахава
21.4181784,42.0087916,Централ Парк
21.423451,42.0002331,Radio bar
21.4235498,42.00231,Speakeasy
21.4235595,42.0023813,МЦМ Мезе Бар
21.4193986,41.9868025,Баба Цана
22.6366903,41.231591,Elita
20.958638,41.986155,Emka
20.9602367,41.9912803,Ultra
20.9602672,41.9913951,Ultra
20.959919,41.9916981,M House
20.9608123,41.992301,Ток 2000
20.961125,41.9976539,Restaurant Boss
20.9614188,41.9995695,Era
20.9518032,42.0012645,Беко Кафе
20.9619853,41.999321,Riva Caffè
20.9633055,42.0060772,Amaretta (Red&Black)
20.9713496,42.0075938,Garden
20.9714342,42.0075662,Irish Pub
20.9721424,42.0072505,Tantra
20.971694,42.0073312,Maroon Bar
20.9718414,42.0073693,Barcode
20.9746292,42.0073877,11
20.9731075,42.0080851,Maestro Cafe
20.9750309,42.0077518,Restaurant Sirena
20.9737785,42.0100645,Стори Кафе
20.9740134,42.0100196,Репаблик Кафе
20.9756816,42.009057,Ресторан Еснав
20.9758291,42.0089945,Ресторан Тетовска Куќа
20.9758432,42.0095705,Пица-Ресторан Пунто Верде
20.97935,42.0067252,Гарден Ресторант
20.9791319,42.0088358,Симпл Кафе
20.9798693,42.0087006,Били Кафе
20.9893133,42.0042922,Шатци
20.989483,42.0040789,Aksaraj
20.9895845,42.0041365,Doner Kebab
20.9894268,42.0041795,Restaurant Emporium
20.989468,42.0042478,Fontana Grill
20.9896305,42.0042064,Chitir Chicken
20.9660018,42.0133094,БЕЛАМИА
21.0271684,42.0664398,Манастирски Ресторан
21.0398878,42.0597188,Ресторант Контраст
21.041931,42.0609612,Елита Кафе
21.0503487,42.0705093,Гостилница Боеми
21.0512358,42.072656,Ресторан Трио
21.0514706,42.0755301,Ресторан Цуцла
21.4871217,42.0072516,Hunter’s Lodge “Kamnik”
21.4941048,41.9977923,Томи
21.4960141,42.0013936,Велково Меанче
21.4600445,41.9978436,Dojrana Skopje
21.4605034,42.0026892,Млечен ресторант АНЕ
21.4614608,42.002646,Ле Петит
